RiverMile,Lat,Long
-13.01,36.9071,-111.4996
-13,36.907,-111.4996
-12.99,36.9068,-111.4996
-12.98,36.9067,-111.4996
-12.97,36.9065,-111.4997
-12.96,36.9064,-111.4997
-12.95,36.9062,-111.4998
-12.94,36.9061,-111.4998
-12.93,36.906,-111.4998
-12.92,36.9058,-111.4999
-12.91,36.9057,-111.5
-12.9,36.9056,-111.5
-12.89,36.9054,-111.5001
-12.88,36.9053,-111.5001
-12.87,36.9051,-111.5002
-12.86,36.905,-111.5002
-12.85,36.9049,-111.5003
-12.84,36.9047,-111.5004
-12.83,36.9046,-111.5004
-12.82,36.9044,-111.5005
-12.81,36.9043,-111.5005
-12.8,36.9042,-111.5006
-12.79,36.904,-111.5006
-12.78,36.9039,-111.5007
-12.77,36.9037,-111.5007
-12.76,36.9036,-111.5007
-12.75,36.9035,-111.5008
-12.74,36.9033,-111.5009
-12.73,36.9032,-111.5009
-12.72,36.9031,-111.501
-12.71,36.9029,-111.5011
-12.7,36.9028,-111.5012
-12.69,36.9027,-111.5013
-12.68,36.9026,-111.5014
-12.67,36.9025,-111.5015
-12.66,36.9024,-111.5017
-12.65,36.9023,-111.5018
-12.64,36.9022,-111.5019
-12.63,36.9021,-111.5021
-12.62,36.902,-111.5022
-12.61,36.9019,-111.5024
-12.6,36.9019,-111.5025
-12.59,36.9018,-111.5027
-12.58,36.9017,-111.5028
-12.57,36.9017,-111.503
-12.56,36.9016,-111.5032
-12.55,36.9016,-111.5033
-12.54,36.9015,-111.5035
-12.53,36.9015,-111.5037
-12.52,36.9015,-111.5039
-12.51,36.9015,-111.5041
-12.5,36.9015,-111.5042
-12.49,36.9015,-111.5044
-12.48,36.9015,-111.5046
-12.47,36.9015,-111.5048
-12.46,36.9015,-111.505
-12.45,36.9015,-111.5051
-12.44,36.9015,-111.5053
-12.43,36.9015,-111.5055
-12.42,36.9016,-111.5057
-12.41,36.9016,-111.5058
-12.4,36.9016,-111.506
-12.39,36.9016,-111.5062
-12.38,36.9017,-111.5064
-12.37,36.9017,-111.5066
-12.36,36.9017,-111.5067
-12.35,36.9017,-111.5069
-12.34,36.9018,-111.5071
-12.33,36.9018,-111.5073
-12.32,36.9018,-111.5074
-12.31,36.9018,-111.5076
-12.3,36.9018,-111.5078
-12.29,36.9018,-111.508
-12.28,36.9018,-111.5082
-12.27,36.9019,-111.5083
-12.26,36.9019,-111.5085
-12.25,36.9019,-111.5087
-12.24,36.9019,-111.5089
-12.23,36.9019,-111.5091
-12.22,36.9019,-111.5092
-12.21,36.9018,-111.5094
-12.2,36.9018,-111.5096
-12.19,36.9018,-111.5098
-12.18,36.9017,-111.51
-12.17,36.9017,-111.5101
-12.16,36.9017,-111.5103
-12.15,36.9016,-111.5105
-12.14,36.9016,-111.5107
-12.13,36.9015,-111.5108
-12.12,36.9015,-111.511
-12.11,36.9015,-111.5112
-12.1,36.9014,-111.5113
-12.09,36.9014,-111.5115
-12.08,36.9013,-111.5117
-12.07,36.9013,-111.5119
-12.06,36.9013,-111.512
-12.05,36.9013,-111.5122
-12.04,36.9012,-111.5124
-12.03,36.9012,-111.5126
-12.02,36.9012,-111.5128
-12.01,36.9012,-111.5129
-12,36.9011,-111.5131
-11.99,36.9011,-111.5133
-11.98,36.9011,-111.5135
-11.97,36.901,-111.5136
-11.96,36.901,-111.5138
-11.95,36.901,-111.514
-11.94,36.901,-111.5142
-11.93,36.901,-111.5144
-11.92,36.901,-111.5145
-11.91,36.901,-111.5147
-11.9,36.901,-111.5149
-11.89,36.901,-111.5151
-11.88,36.901,-111.5153
-11.87,36.901,-111.5154
-11.86,36.901,-111.5156
-11.85,36.901,-111.5158
-11.84,36.9011,-111.516
-11.83,36.9011,-111.5162
-11.82,36.9011,-111.5163
-11.81,36.9011,-111.5165
-11.8,36.9011,-111.5167
-11.79,36.9011,-111.5169
-11.78,36.9011,-111.5171
-11.77,36.9011,-111.5172
-11.76,36.9012,-111.5174
-11.75,36.9012,-111.5176
-11.74,36.9012,-111.5178
-11.73,36.9012,-111.518
-11.72,36.9012,-111.5181
-11.71,36.9012,-111.5183
-11.7,36.9012,-111.5185
-11.69,36.9012,-111.5187
-11.68,36.9012,-111.5189
-11.67,36.9012,-111.519
-11.66,36.9012,-111.5192
-11.65,36.9012,-111.5194
-11.64,36.9012,-111.5196
-11.63,36.9012,-111.5198
-11.62,36.9012,-111.5199
-11.61,36.9012,-111.5201
-11.6,36.9011,-111.5203
-11.59,36.9011,-111.5205
-11.58,36.9011,-111.5207
-11.57,36.9011,-111.5208
-11.56,36.901,-111.521
-11.55,36.901,-111.5212
-11.54,36.901,-111.5214
-11.53,36.9009,-111.5215
-11.52,36.9008,-111.5217
-11.51,36.9008,-111.5218
-11.5,36.9007,-111.522
-11.49,36.9006,-111.5221
-11.48,36.9006,-111.5223
-11.47,36.9005,-111.5225
-11.46,36.9004,-111.5226
-11.45,36.9003,-111.5228
-11.44,36.9003,-111.5229
-11.43,36.9002,-111.5231
-11.42,36.9001,-111.5232
-11.41,36.9,-111.5233
-11.4,36.8998,-111.5234
-11.39,36.8997,-111.5235
-11.38,36.8996,-111.5236
-11.37,36.8995,-111.5237
-11.36,36.8993,-111.5237
-11.35,36.8992,-111.5238
-11.34,36.899,-111.5238
-11.33,36.8989,-111.5238
-11.32,36.8987,-111.5239
-11.31,36.8986,-111.5239
-11.3,36.8985,-111.5239
-11.29,36.8983,-111.5238
-11.28,36.8982,-111.5238
-11.27,36.898,-111.5238
-11.26,36.8979,-111.5238
-11.25,36.8977,-111.5238
-11.24,36.8976,-111.5238
-11.23,36.8974,-111.5238
-11.22,36.8973,-111.5238
-11.21,36.8972,-111.5238
-11.2,36.897,-111.5238
-11.19,36.8969,-111.5237
-11.18,36.8967,-111.5237
-11.17,36.8966,-111.5237
-11.16,36.8964,-111.5238
-11.15,36.8963,-111.5238
-11.14,36.8961,-111.5238
-11.13,36.896,-111.5238
-11.12,36.8959,-111.5238
-11.11,36.8957,-111.5238
-11.1,36.8956,-111.5238
-11.09,36.8954,-111.5238
-11.08,36.8953,-111.5238
-11.07,36.8951,-111.5238
-11.06,36.895,-111.5238
-11.05,36.8948,-111.5238
-11.04,36.8947,-111.5238
-11.03,36.8945,-111.5238
-11.02,36.8944,-111.5238
-11.01,36.8943,-111.5238
-11,36.8941,-111.5238
-10.99,36.894,-111.5238
-10.98,36.8938,-111.5238
-10.97,36.8937,-111.5238
-10.96,36.8935,-111.5238
-10.95,36.8934,-111.5239
-10.94,36.8932,-111.5239
-10.93,36.8931,-111.5239
-10.92,36.893,-111.524
-10.91,36.8928,-111.5241
-10.9,36.8927,-111.5241
-10.89,36.8926,-111.5242
-10.88,36.8925,-111.5243
-10.87,36.8923,-111.5244
-10.86,36.8922,-111.5246
-10.85,36.8921,-111.5247
-10.84,36.892,-111.5248
-10.83,36.8919,-111.525
-10.82,36.8919,-111.5251
-10.81,36.8918,-111.5252
-10.8,36.8917,-111.5254
-10.79,36.8916,-111.5255
-10.78,36.8915,-111.5257
-10.77,36.8915,-111.5258
-10.76,36.8914,-111.526
-10.75,36.8913,-111.5262
-10.74,36.8913,-111.5263
-10.73,36.8912,-111.5265
-10.72,36.8911,-111.5266
-10.71,36.891,-111.5268
-10.7,36.8909,-111.5269
-10.69,36.8909,-111.5271
-10.68,36.8908,-111.5272
-10.67,36.8907,-111.5274
-10.66,36.8906,-111.5275
-10.65,36.8905,-111.5277
-10.64,36.8904,-111.5278
-10.63,36.8904,-111.528
-10.62,36.8903,-111.5281
-10.61,36.8902,-111.5283
-10.6,36.8901,-111.5284
-10.59,36.89,-111.5285
-10.58,36.8899,-111.5287
-10.57,36.8898,-111.5288
-10.56,36.8897,-111.529
-10.55,36.8896,-111.5291
-10.54,36.8895,-111.5292
-10.53,36.8894,-111.5293
-10.52,36.8893,-111.5295
-10.51,36.8892,-111.5296
-10.5,36.8891,-111.5297
-10.49,36.8889,-111.5297
-10.48,36.8888,-111.5298
-10.47,36.8887,-111.5299
-10.46,36.8885,-111.5299
-10.45,36.8884,-111.53
-10.44,36.8882,-111.53
-10.43,36.8881,-111.53
-10.42,36.888,-111.53
-10.41,36.8878,-111.53
-10.4,36.8877,-111.53
-10.39,36.8875,-111.53
-10.38,36.8874,-111.53
-10.37,36.8872,-111.53
-10.36,36.8871,-111.53
-10.35,36.887,-111.5299
-10.34,36.8868,-111.5299
-10.33,36.8867,-111.5298
-10.32,36.8865,-111.5298
-10.31,36.8864,-111.5297
-10.3,36.8863,-111.5296
-10.29,36.8862,-111.5295
-10.28,36.886,-111.5294
-10.27,36.8859,-111.5293
-10.26,36.8858,-111.5292
-10.25,36.8857,-111.5291
-10.24,36.8856,-111.5289
