"","YearSpan","RM","MaxTempDegC","MaxTempDegCInterpolated"
"225","2000-2021",224,NA,19.3985031374138
"226","2000-2021",225,19.42227273,19.42227273
"227","2000-2021",226,NA,19.4373495695
"228","2000-2021",227,NA,19.452426409
"229","2000-2021",228,NA,19.4675032485
"230","2000-2021",229,NA,19.482580088
"231","2000-2021",230,NA,19.4976569275
"232","2000-2021",231,NA,19.512733767
"233","2000-2021",232,NA,19.5278106065
"234","2000-2021",233,NA,19.542887446
"235","2000-2021",234,NA,19.5579642855
"236","2000-2021",235,NA,19.573041125
"237","2000-2021",236,NA,19.5881179645
"238","2000-2021",237,NA,19.603194804
"239","2000-2021",238,NA,19.6182716435
"240","2000-2021",239,NA,19.633348483
"241","2000-2021",240,NA,19.6484253225
"242","2000-2021",241,NA,19.663502162
"243","2000-2021",242,NA,19.6785790015
"244","2000-2021",243,NA,19.693655841
"245","2000-2021",244,NA,19.7087326805
"246","2000-2021",245,19.72380952,19.72380952
